scene_id,beat_index,shot_index,asset_path,asset_source,asset_title,query_used,shot_duration_s,narration_duration_s,camera_motion,transition,timeline_start_s,timeline_end_s,verified
0,0,0,cache/manim/pulsar_density.mp4,manim,,,6.1,12.8,static,fade,0.0,6.1,False
0,0,1,results/pulsars__the_universe_s_lighthouses/shots/scene0_0.mp4,nasa,Different Types of Neutron Stars (Illustration),neutron star,5.5,12.8,push_in,crossfade,6.1,11.6,True
0,0,2,results/pulsars__the_universe_s_lighthouses/shots/scene0_1.mp4,wikimedia,"File:Illustration of relative sizes of Grand Canyon, neutron star and quark star (2002-0211-more-4).tiff",neutron star,5.5,12.8,reveal,crossfade,11.6,17.1,True
1,0,0,cache/manim/pulsar_lighthouse.mp4,manim,,,8.8,18.09,static,fade,12.8,21.6,False
1,0,1,results/pulsars__the_universe_s_lighthouses/shots/scene1_0.mp4,wikimedia,"File:Susan Jocelyn Bell (Burnell), 1967.jpg",Jocelyn Bell Burnell 1967,5.5,18.09,pan_right,crossfade,21.6,27.1,True
1,0,2,results/pulsars__the_universe_s_lighthouses/shots/scene1_1.mp4,nasa,Pulsar Artist Concept,pulsar,5.5,18.09,pull_out,crossfade,27.1,32.6,True
2,0,0,results/pulsars__the_universe_s_lighthouses/shots/scene2_0.mp4,ai,,"Photorealistic documentary image: The viewer should see a dense, rapidly spinning point of light or a stellar remnant, feeling the incredible density and speed described in the narration., cinematic, high detail",5.5,13.27,reveal,fade,30.89,36.39,True
2,0,1,results/pulsars__the_universe_s_lighthouses/shots/scene2_variant_1.mp4,ai,,"Photorealistic documentary image: The viewer should see a dense, rapidly spinning point of light or a stellar remnant, feeling the incredible density and speed described in the narration., cinematic, high detail",5.5,13.27,push_in,crossfade,36.39,44.16,True
3,0,0,results/pulsars__the_universe_s_lighthouses/shots/scene3_0.mp4,nasa,Giant Exoplanet and Debris Disk (Artist's Concept),exoplanet,5.5,16.02,push_in,fade,44.16,49.66,True
3,0,1,results/pulsars__the_universe_s_lighthouses/shots/scene3_1.mp4,ai,,"Photorealistic documentary image: The viewer should see a rapidly pulsing neutron star with rhythmic flashes, then the subtle wobble of a distant planet detected through timing variations, conveying the precision of pulsar timing as a cosmic detective tool., cinematic, high detail",5.5,16.02,pan_right,crossfade,49.66,60.18,True
4,0,0,results/pulsars__the_universe_s_lighthouses/shots/scene4_0.mp4,ai,,"Photorealistic documentary image: The viewer should see a rhythmic, mesmerizing visualization of pulsar beams sweeping across space, with quickening and slowing pulses that visually convey the precision clocks winding down, creating a sense of awe and cosmic listening., cinematic, high detail",5.5,13.76,pull_out,fade,60.18,65.68,True
4,0,1,results/pulsars__the_universe_s_lighthouses/shots/scene4_variant_1.mp4,ai,,"Photorealistic documentary image: The viewer should see a rhythmic, mesmerizing visualization of pulsar beams sweeping across space, with quickening and slowing pulses that visually convey the precision clocks winding down, creating a sense of awe and cosmic listening., cinematic, high detail",5.5,13.76,push_in,crossfade,65.68,73.94,True
