scene_id,beat_index,shot_index,asset_path,asset_source,asset_title,query_used,shot_duration_s,narration_duration_s,camera_motion,transition,timeline_start_s,timeline_end_s,verified
0,0,0,results/the_moon__earth_s_silent_companion/shots/scene0_0.mp4,cached,cached still,Luna 2 impact Moon 1959,5.5,15.8,push_in,fade,0.0,5.5,True
0,0,1,results/the_moon__earth_s_silent_companion/shots/scene0_1.mp4,cached,cached still,Luna 2 impact Moon 1959,5.5,15.8,parallax,crossfade,5.5,15.8,True
1,0,0,results/the_moon__earth_s_silent_companion/shots/scene1_0.mp4,cached,cached still,Apollo 11 launch Saturn V,5.5,11.64,reveal,fade,15.8,21.3,True
1,0,1,results/the_moon__earth_s_silent_companion/shots/scene1_1.mp4,cached,cached still,Apollo 11 launch Saturn V,5.5,11.64,push_in,crossfade,21.3,27.44,True
2,0,0,cache/manim/moon_phases.mp4,manim,,,10.0,13.84,static,fade,27.44,37.44,False
2,0,1,results/the_moon__earth_s_silent_companion/shots/scene2_0.mp4,cached,cached still,"The viewer should see the Moon as a constant, ancient presence, then be drawn into the mystery of its violent origin through the tangible evidence of lunar samples.. hand-painted cinematic concept art, painterly brushwork, rich depth, warm amber and deep teal color palette with soft cream highlights, consistent lighting and color grade, no text",5.5,13.84,pull_out,crossfade,37.44,42.94,True
2,0,2,results/the_moon__earth_s_silent_companion/shots/scene2_1.mp4,cached,cached still,Moon orbit Earth time lapse,5.5,13.84,pan_right,crossfade,42.94,48.44,True
3,0,0,results/the_moon__earth_s_silent_companion/shots/scene3_0.mp4,cached,cached still,"The viewer should see the violent collision of a Mars-sized body (Theia) with early Earth, followed by coalescing debris forming the Moon, feeling the scale and drama of the event.. hand-painted cinematic concept art, painterly brushwork, rich depth, warm amber and deep teal color palette with soft cream highlights, consistent lighting and color grade, no text",5.5,10.12,reveal,fade,41.28,46.78,True
3,0,1,results/the_moon__earth_s_silent_companion/shots/scene3_1.mp4,cached,cached still,giant impact hypothesis animation,5.5,10.12,pan_right,crossfade,46.78,52.28,True
4,0,0,results/the_moon__earth_s_silent_companion/shots/scene4_0.mp4,cached,cached still,"Show the Moon slowly rotating with one hemisphere always facing Earth, emphasizing its constant face and the contrast of its hidden side, to convey the mystery of synchronous rotation and the extreme conditions on the surface.. hand-painted cinematic concept art, painterly brushwork, rich depth, warm amber and deep teal color palette with soft cream highlights, consistent lighting and color grade, no text",5.5,9.92,pull_out,fade,51.4,56.9,True
4,0,1,results/the_moon__earth_s_silent_companion/shots/scene4_1.mp4,cached,cached still,Moon synchronous rotation animation,5.5,9.92,push_in,crossfade,56.9,62.4,True
5,0,0,results/the_moon__earth_s_silent_companion/shots/scene5_0.mp4,cached,cached still,Moon surface temperature extremes,5.5,10.08,reveal,fade,61.32,66.82,True
5,0,1,results/the_moon__earth_s_silent_companion/shots/scene5_1.mp4,cached,cached still,Moon surface temperature extremes,5.5,10.08,pan_right,crossfade,66.82,72.32,True
6,0,0,results/the_moon__earth_s_silent_companion/shots/scene6_0.mp4,cached,cached still,"The viewer should see the Moon as a low-gravity world, feeling the contrast between human scale and lunar conditions—emphasized by a slow, weightless jump or a figure standing on the regolith, with Earth visible in the distance to reinforce the gravity difference.. hand-painted cinematic concept art, painterly brushwork, rich depth, warm amber and deep teal color palette with soft cream highlights, consistent lighting and color grade, no text",5.5,10.48,pull_out,fade,71.4,76.9,True
6,0,1,results/the_moon__earth_s_silent_companion/shots/scene6_1.mp4,cached,cached still,astronauts jumping Moon low gravity,5.5,10.48,reveal,crossfade,76.9,82.4,True
7,0,0,results/the_moon__earth_s_silent_companion/shots/scene7_0.mp4,cached,cached still,"The viewer should see the Moon as a massive, silent, barren sphere in space, feeling its immense size and emptiness without any atmospheric features.. hand-painted cinematic concept art, painterly brushwork, rich depth, warm amber and deep teal color palette with soft cream highlights, consistent lighting and color grade, no text",5.5,10.6,crane_up,fade,81.88,87.38,True
7,0,1,results/the_moon__earth_s_silent_companion/shots/scene7_1.mp4,cached,cached still,Moon internal structure cross section,5.5,10.6,parallax,crossfade,87.38,92.88,True
8,0,0,results/the_moon__earth_s_silent_companion/shots/scene8_0.mp4,cached,cached still,"Show the Moon in a vast, silent, and empty way, with a single fleeting human presence (like a footprint or a distant Apollo lander) to evoke the loneliness and abandonment after the last human visit.. hand-painted cinematic concept art, painterly brushwork, rich depth, warm amber and deep teal color palette with soft cream highlights, consistent lighting and color grade, no text",5.5,12.16,reveal,fade,92.48,97.98,True
8,0,1,results/the_moon__earth_s_silent_companion/shots/scene8_variant_1.mp4,cached,cached still,"Show the Moon in a vast, silent, and empty way, with a single fleeting human presence (like a footprint or a distant Apollo lander) to evoke the loneliness and abandonment after the last human visit.. hand-painted cinematic concept art, painterly brushwork, rich depth, warm amber and deep teal color palette with soft cream highlights, consistent lighting and color grade, no text",5.5,12.16,push_in,crossfade,97.98,104.64,True
9,0,0,results/the_moon__earth_s_silent_companion/shots/scene9_0.mp4,cached,cached still,Moon Earthrise photo,5.5,7.0,push_in,fade,104.64,110.14,True
9,0,1,results/the_moon__earth_s_silent_companion/shots/scene9_variant_1.mp4,cached,cached still,Moon Earthrise photo,5.5,7.0,pull_out,crossfade,110.14,115.64,True
