scene_id,beat_index,shot_index,asset_path,asset_source,asset_title,query_used,shot_duration_s,narration_duration_s,camera_motion,transition,timeline_start_s,timeline_end_s,verified
0,0,0,results/why_we_sleep__your_brain_s_night_shift/shots/scene0_0.mp4,ai,,"The viewer should see the brain's night-time cleansing process, feeling wonder and understanding of the body's self-maintenance.. flat-vector documentary illustration, clean geometric shapes, smooth curves, bold flat color fills, deep navy background with high-saturation cyan and orange accents, simple stylized human figures, minimal detail, no text, no gradients, no photorealism",3.5,10.43,push_in,fade,0.0,3.5,True
0,0,1,results/why_we_sleep__your_brain_s_night_shift/shots/scene0_1.mp4,cached,cached still,sleeping face close up,3.5,10.43,reveal,crossfade,3.5,7.0,True
0,0,2,results/why_we_sleep__your_brain_s_night_shift/shots/scene0_variant_2.mp4,cached,cached still,sleeping face close up,4.0,10.43,push_in,crossfade,7.0,11.0,True
1,0,0,results/why_we_sleep__your_brain_s_night_shift/shots/scene1_0.mp4,cached,cached still,"The viewer should see a detailed, scientific visualization of the brain highlighting the suprachiasmatic nucleus, feeling the precision of biological timekeeping.. flat-vector documentary illustration, clean geometric shapes, smooth curves, bold flat color fills, deep navy background with high-saturation cyan and orange accents, simple stylized human figures, minimal detail, no text, no gradients, no photorealism",4.0,7.32,push_in,fade,10.44,14.44,True
1,0,1,results/why_we_sleep__your_brain_s_night_shift/shots/scene1_1.mp4,cached,cached still,circadian rhythm animation,4.0,7.32,pan_right,crossfade,14.44,18.43,True
2,0,0,results/why_we_sleep__your_brain_s_night_shift/shots/scene2_0.mp4,cached,cached still,"The viewer should see a peaceful bedtime scene with a clock emphasizing the seven-hour benchmark, feeling the calm necessity of adequate sleep.. flat-vector documentary illustration, clean geometric shapes, smooth curves, bold flat color fills, deep navy background with high-saturation cyan and orange accents, simple stylized human figures, minimal detail, no text, no gradients, no photorealism",4.0,12.48,pull_out,fade,17.75,21.75,True
2,0,1,results/why_we_sleep__your_brain_s_night_shift/shots/scene2_1.mp4,cached,cached still,clock at 7,4.0,12.48,reveal,crossfade,21.75,25.75,True
2,0,2,results/why_we_sleep__your_brain_s_night_shift/shots/scene2_variant_2.mp4,cached,cached still,clock at 7,4.0,12.48,push_in,crossfade,25.75,29.75,True
3,0,0,results/why_we_sleep__your_brain_s_night_shift/shots/scene3_0.mp4,cached,cached still,glymphatic system animation,4.0,10.87,pan_right,fade,30.23,34.23,True
3,0,1,results/why_we_sleep__your_brain_s_night_shift/shots/scene3_1.mp4,cached,cached still,glymphatic system animation,4.0,10.87,reveal,crossfade,34.23,38.23,True
3,0,2,results/why_we_sleep__your_brain_s_night_shift/shots/scene3_variant_2.mp4,cached,cached still,glymphatic system animation,4.0,10.87,push_in,crossfade,38.23,42.23,True
4,0,0,results/why_we_sleep__your_brain_s_night_shift/shots/scene4_0.mp4,cached,cached still,"Show the extreme challenge of staying awake, emphasizing the toll on the body and the relentless passage of time.. flat-vector documentary illustration, clean geometric shapes, smooth curves, bold flat color fills, deep navy background with high-saturation cyan and orange accents, simple stylized human figures, minimal detail, no text, no gradients, no photorealism",4.0,11.72,parallax,fade,41.1,45.1,True
4,0,1,results/why_we_sleep__your_brain_s_night_shift/shots/scene4_1.mp4,cached,cached still,Randy Gardner 1964,4.0,11.72,push_in,crossfade,45.1,49.1,True
4,0,2,results/why_we_sleep__your_brain_s_night_shift/shots/scene4_variant_2.mp4,cached,cached still,Randy Gardner 1964,4.0,11.72,pull_out,crossfade,49.1,53.1,True
5,0,0,results/why_we_sleep__your_brain_s_night_shift/shots/scene5_0.mp4,cached,cached still,working memory,4.0,13.64,static,fade,52.82,56.82,True
